NX,NY,num_particles,maxiter,mpi_ranks,omp_threads,total_cores,iteration,interp_time_s,mover_time_s,total_iter_time_s,active_particles
250,100,900000,10,32,1,32,6,0.000576,0.000360,0.000945,876388
250,100,900000,10,32,1,32,7,0.000549,0.000369,0.000927,871150
250,100,900000,10,32,1,32,8,0.000623,0.000365,0.000995,865762
250,100,900000,10,32,1,32,9,0.021481,0.000366,0.021855,859917
250,100,900000,10,32,1,32,10,0.000571,0.000362,0.000941,854389
250,100,900000,10,64,1,64,1,0.033202,0.000236,0.033448,896117
250,100,900000,10,64,1,64,2,0.017085,0.000201,0.017298,892559
250,100,900000,10,64,1,64,3,0.000585,0.000198,0.000796,889311
250,100,900000,10,64,1,64,4,0.000493,0.000198,0.000702,885843
250,100,900000,10,64,1,64,5,0.000474,0.000201,0.000684,881238
250,100,900000,10,64,1,64,6,0.000487,0.000179,0.000675,876388
250,100,900000,10,64,1,64,7,0.023487,0.000192,0.023687,871150
250,100,900000,10,64,1,64,8,0.000604,0.000211,0.000826,865762
250,100,900000,10,64,1,64,9,0.000469,0.000179,0.000656,859917
250,100,900000,10,64,1,64,10,0.016371,0.000199,0.016579,854389
250,100,5000000,10,1,1,1,1,0.036657,0.049767,0.086467,4985397
250,100,5000000,10,1,1,1,2,0.036719,0.049465,0.086207,4964794
250,100,5000000,10,1,1,1,3,0.036451,0.049840,0.086313,4912811
250,100,5000000,10,1,1,1,4,0.036308,0.049119,0.085450,4883710
250,100,5000000,10,1,1,1,5,0.036252,0.048801,0.085076,4867023
250,100,5000000,10,1,1,1,6,0.036258,0.048788,0.085068,4848543
250,100,5000000,10,1,1,1,7,0.036636,0.048838,0.085497,4824761
250,100,5000000,10,1,1,1,8,0.036058,0.048329,0.084410,4798030
250,100,5000000,10,1,1,1,9,0.035978,0.048042,0.084042,4769907
250,100,5000000,10,1,1,1,10,0.035886,0.047907,0.083816,4741529
250,100,5000000,10,2,1,2,1,0.019158,0.023692,0.042894,4985397
250,100,5000000,10,2,1,2,2,0.019143,0.023654,0.042822,4964794
250,100,5000000,10,2,1,2,3,0.019156,0.023840,0.043020,4912811
250,100,5000000,10,2,1,2,4,0.019022,0.023509,0.042556,4883710
250,100,5000000,10,2,1,2,5,0.018959,0.023384,0.042379,4867023
250,100,5000000,10,2,1,2,6,0.018844,0.023310,0.042189,4848543
250,100,5000000,10,2,1,2,7,0.018813,0.023270,0.042119,4824761
250,100,5000000,10,2,1,2,8,0.018666,0.023199,0.041903,4798030
250,100,5000000,10,2,1,2,9,0.018608,0.023079,0.041723,4769907
250,100,5000000,10,2,1,2,10,0.018491,0.023035,0.041553,4741529
250,100,5000000,10,4,1,4,1,0.009490,0.011651,0.021186,4985397
250,100,5000000,10,4,1,4,2,0.009509,0.011579,0.021113,4964794
250,100,5000000,10,4,1,4,3,0.009496,0.011691,0.021208,4912811
250,100,5000000,10,4,1,4,4,0.009448,0.011598,0.021068,4883710
250,100,5000000,10,4,1,4,5,0.009364,0.011474,0.020860,4867023
250,100,5000000,10,4,1,4,6,0.009291,0.011479,0.020791,4848543
250,100,5000000,10,4,1,4,7,0.009263,0.011431,0.020716,4824761
250,100,5000000,10,4,1,4,8,0.009234,0.011419,0.020674,4798030
250,100,5000000,10,4,1,4,9,0.009215,0.011350,0.020585,4769907
250,100,5000000,10,4,1,4,10,0.009149,0.011291,0.020462,4741529
250,100,5000000,10,8,1,8,1,0.005369,0.006661,0.012078,4985397
250,100,5000000,10,8,1,8,2,0.005690,0.006632,0.012345,4964794
250,100,5000000,10,8,1,8,3,0.005693,0.006657,0.012371,4912811
250,100,5000000,10,8,1,8,4,0.005760,0.006569,0.012350,4883710
250,100,5000000,10,8,1,8,5,0.005648,0.006567,0.012236,4867023
250,100,5000000,10,8,1,8,6,0.005535,0.006555,0.012113,4848543
