Grid, Particles, Immediate_Total_Time
250x100, 100, 0.000000
250x100, 10000, 0.010000
250x100, 1000000, 0.340000
250x100, 100000000, 33.890000
500x200, 100, 0.000000
500x200, 10000, 0.000000
500x200, 1000000, 0.340000
500x200, 100000000, 36.480000
1000x400, 100, 0.000000
1000x400, 10000, 0.010000
1000x400, 1000000, 0.380000
1000x400, 100000000, 36.730000
