Grid, Particles, Deferred_Total_Time
250x100, 100, 0.000000
250x100, 10000, 0.000000
250x100, 1000000, 0.420000
250x100, 100000000, 41.850000
500x200, 100, 0.010000
500x200, 10000, 0.000000
500x200, 1000000, 0.430000
500x200, 100000000, 42.850000
1000x400, 100, 0.000000
1000x400, 10000, 0.010000
1000x400, 1000000, 0.460000
1000x400, 100000000, 42.470000
