Grid,Particles,Total_Interp_Time
250x100,100,0.000000
250x100,10000,0.000000
250x100,1000000,0.170000
250x100,100000000,16.950000
500x200,100,0.000000
500x200,10000,0.010000
500x200,1000000,0.180000
500x200,100000000,17.780000
1000x400,100,0.010000
1000x400,10000,0.000000
1000x400,1000000,0.190000
1000x400,100000000,17.890000
